"Apertium individual as object in a triple,""Property to use with lexical entry as subject",,,,
"(not necessarily pos)"",""Lexinfo individual OR Apertium individual OR blank node",,,,
"as object"",Abbreviation for URI,Comments",,,,
apertium:def,lexinfo:definiteness,lexinfo:definite,,
apertium:def,lexinfo:partOfSpeech,lexinfo:pronoun,pron,
apertium:DEK,lexinfo:morphosyntacticProperty,apertium:DEK,,
apertium:dela,lexinfo:case,lexinfo:delativeCase,,
apertium:dem,lexinfo:partOfSpeech,lexinfo:demonstrativePronoun,pron,
apertium:Dem,lexinfo:partOfSpeech,lexinfo:demonstrativePronoun,pron,
apertium:DENB,lexinfo:morphosyntacticProperty,apertium:DENB,,
apertium:Der,lexinfo:morphosyntacticProperty,apertium:Der,,
apertium:Der_ahtti,lexinfo:morphosyntacticProperty,apertium:Der_ahtti,,
apertium:Der_alla,lexinfo:morphosyntacticProperty,apertium:Der_alla,,
apertium:Der_at,lexinfo:morphosyntacticProperty,apertium:Der_at,,
apertium:Der_d,lexinfo:morphosyntacticProperty,apertium:Der_d,,
apertium:Der_Dimin,lexinfo:morphosyntacticProperty,apertium:Der_Dimin,,
apertium:Der_eapmi,lexinfo:morphosyntacticProperty,apertium:Der_eapmi,,
apertium:Der_eapmi,lexinfo:partOfSpeech,lexinfo:noun,noun,
apertium:Der_goahti,lexinfo:morphosyntacticProperty,apertium:Der_goahti,,
apertium:Der_h,lexinfo:morphosyntacticProperty,apertium:Der_h,,
apertium:Der_halla,lexinfo:morphosyntacticProperty,apertium:Der_halla,,
apertium:Der_j,lexinfo:morphosyntacticProperty,apertium:Der_j,,
apertium:Der_las,lexinfo:morphosyntacticProperty,apertium:Der_las,,
apertium:Der_las,lexinfo:partOfSpeech,lexinfo:adjective,adj,
apertium:Der_muš,lexinfo:morphosyntacticProperty,apertium:Der_muš,,
apertium:Der_muš,lexinfo:partOfSpeech,lexinfo:noun,noun,
apertium:Der_PassL,lexinfo:morphosyntacticProperty,apertium:Der_PassL,,
apertium:Der_PassS,lexinfo:morphosyntacticProperty,apertium:Der_PassS,,
apertium:Der_st,lexinfo:morphosyntacticProperty,apertium:Der_st,,
apertium:Der_vuohta,lexinfo:morphosyntacticProperty,apertium:Der_vuohta,,
apertium:Der_vuohta,lexinfo:partOfSpeech,lexinfo:noun,noun,
apertium:Der1,lexinfo:morphosyntacticProperty,apertium:Der1,,
apertium:Der2,lexinfo:morphosyntacticProperty,apertium:Der2,,
apertium:Der3,lexinfo:morphosyntacticProperty,apertium:Der3,,
apertium:Der4,lexinfo:morphosyntacticProperty,apertium:Der4,,
apertium:DES,lexinfo:morphosyntacticProperty,apertium:DES,,
apertium:DESK,lexinfo:morphosyntacticProperty,apertium:DESK,,
apertium:det,lexinfo:partOfSpeech,lexinfo:determiner,det,
apertium:DET,lexinfo:partOfSpeech,lexinfo:determiner,det,
apertium:detnt,lexinfo:morphosyntacticProperty,apertium:detnt,,
apertium:detnt,lexinfo:partOfSpeech,lexinfo:determiner,det,
apertium:dg,lexinfo:morphosyntacticProperty,apertium:dg,,
apertium:dg,lexinfo:case,lexinfo:dativeCase,,
apertium:dg,lexinfo:case,lexinfo:genitiveCase,,
apertium:digit,lexinfo:morphosyntacticProperty,apertium:digit,,
apertium:dim,lexinfo:morphosyntacticProperty,apertium:dim,,
apertium:dst,lexinfo:partOfSpeech,lexinfo:demonstrativeDeterminer,det,
apertium:du,lexinfo:number,lexinfo:dual,,
apertium:Du,lexinfo:number,lexinfo:dual,,
apertium:Du1,lexinfo:number,lexinfo:dual,,
apertium:Du1,lexinfo:person,lexinfo:firstPerson,,
apertium:Du2,lexinfo:number,lexinfo:dual,,
apertium:Du2,lexinfo:person,lexinfo:secondPerson,,
apertium:Du3,lexinfo:number,lexinfo:dual,,
apertium:Du3,lexinfo:person,lexinfo:thirdPerson,,
apertium:dual,lexinfo:number,apertium:dual,,
apertium:DZG,lexinfo:morphosyntacticProperty,apertium:DZG,,
apertium:DZH,lexinfo:morphosyntacticProperty,apertium:DZH,,
apertium:ea,lexinfo:morphosyntacticProperty,apertium:ea,,
apertium:EGI,lexinfo:morphosyntacticProperty,apertium:EGI,,
apertium:ela,lexinfo:case,lexinfo:elativeCase,,
apertium:ELI,lexinfo:morphosyntacticProperty,apertium:ELI,,
apertium:ELK,lexinfo:morphosyntacticProperty,apertium:ELK,,
apertium:email,lexinfo:morphosyntacticProperty,apertium:email,,
apertium:emails,lexinfo:morphosyntacticProperty,apertium:emails,,
apertium:EMEN,lexinfo:morphosyntacticProperty,apertium:EMEN,,
apertium:emph,lexinfo:morphosyntacticProperty,apertium:emph,,
apertium:emph,lexinfo:partOfSpeech,lexinfo:particle,part,
apertium:enc,lexinfo:morphosyntacticProperty,apertium:enc,,
apertium:enc,lexinfo:cliticness,lexinfo:bound,,
apertium:ep-e,lexinfo:morphosyntacticProperty,apertium:ep-e,,
apertium:ep-Ø,lexinfo:morphosyntacticProperty,apertium:ep-Ø,,
apertium:ep-s,lexinfo:morphosyntacticProperty,apertium:ep-s,,
apertium:ep-s,lexinfo:morphosyntacticProperty,apertium:ep-s,,
apertium:erg,lexinfo:case,lexinfo:ergativeCase,,
apertium:ERG,lexinfo:case,lexinfo:ergativeCase,,
apertium:ERKARR,lexinfo:morphosyntacticProperty,apertium:ERKARR,,
apertium:ERKIND,lexinfo:morphosyntacticProperty,apertium:ERKIND,,
apertium:ERL,lexinfo:morphosyntacticProperty,apertium:ERL,,
apertium:ERLT,lexinfo:morphosyntacticProperty,apertium:ERLT,,
apertium:ERROR,lexinfo:morphosyntacticProperty,apertium:ERROR,,
apertium:ESPL,lexinfo:morphosyntacticProperty,apertium:ESPL,,
apertium:ess,lexinfo:case,lexinfo:essiveCase,,
apertium:Ess,lexinfo:case,lexinfo:essiveCase,,
apertium:excl,lexinfo:morphosyntacticProperty,apertium:excl,,
apertium:exp,lexinfo:morphosyntacticProperty,apertium:exp,,
apertium:expr,lexinfo:morphosyntacticProperty,apertium:expr,,
apertium:EZBU,lexinfo:morphosyntacticProperty,apertium:EZBU,,
apertium:f,lexinfo:gender,lexinfo:feminine,,
apertium:FAK,lexinfo:morphosyntacticProperty,apertium:FAK,,
apertium:fam,lexinfo:morphosyntacticProperty,apertium:fam,,
apertium:Fem,lexinfo:gender,lexinfo:feminine,,
