"explicitement"-adverb-fr "eksplicite"-adverb-eo
"retenir"-verb-fr "reteni"-verb-eo
"consentir"-verb-fr "konsenti"-verb-eo
"konsenti"-verb-eo "consentir"-verb-fr
"deturni"-verb-eo "infléchir"-verb-fr
"infléchir"-verb-fr "deturni"-verb-eo
"rappeler"-verb-fr "memori"-verb-eo
"memori"-verb-eo "rappeler"-verb-fr
"memori"-verb-eo "souvenir"-verb-fr
"souvenir"-verb-fr "memori"-verb-eo
"grupigi"-verb-eo "grouper"-verb-fr
"grouper"-verb-fr "grupigi"-verb-eo
"kunigi"-verb-eo "accoler"-verb-fr
"accoler"-verb-fr "kunigi"-verb-eo
"dungi"-verb-eo "embaucher"-verb-fr
"embaucher"-verb-fr "dungi"-verb-eo
"dessiner"-verb-fr "dezajni"-verb-eo
"dezajni"-verb-eo "dessiner"-verb-fr
"abréger"-verb-fr "mallongigi"-verb-eo
"mallongigi"-verb-eo "abréger"-verb-fr
"mallongigi"-verb-eo "raccourcir"-verb-fr
"raccourcir"-verb-fr "mallongigi"-verb-eo
"diminuer"-verb-fr "malkreski"-verb-eo
"malkreski"-verb-eo "diminuer"-verb-fr
"trompi"-verb-eo "duper"-verb-fr
"duper"-verb-fr "trompi"-verb-eo
"miksi"-verb-eo "mélanger"-verb-fr
"mélanger"-verb-fr "miksi"-verb-eo
"balayer"-verb-fr "balai"-verb-eo
"balai"-verb-eo "balayer"-verb-fr
"pruntedoni"-verb-eo "laisser"-verb-fr
"laisser"-verb-fr "pruntedoni"-verb-eo
"laisser"-verb-fr "lasi"-verb-eo
"lasi"-verb-eo "laisser"-verb-fr
"permesi"-verb-eo "permettre"-verb-fr
"permesi"-verb-eo "permettre de"-verb-fr
"permettre"-verb-fr "permesi"-verb-eo
"permettre de"-verb-fr "permesi"-verb-eo
"inciter"-verb-fr "instigi"-verb-eo
"instigi"-verb-eo "inciter"-verb-fr
"appeler"-verb-fr "nomi"-verb-eo
"nomi"-verb-eo "appeler"-verb-fr
"nomi"-verb-eo "dénommer"-verb-fr
"dénommer"-verb-fr "nomi"-verb-eo
"resoni"-verb-eo "retentir"-verb-fr
"resoni"-verb-eo "résonner"-verb-fr
"retentir"-verb-fr "resoni"-verb-eo
"résonner"-verb-fr "resoni"-verb-eo
"reprocher"-verb-fr "riproĉi"-verb-eo
"riproĉi"-verb-eo "reprocher"-verb-fr
"teni"-verb-eo "maintenir"-verb-fr
"maintenir"-verb-fr "teni"-verb-eo
"mistrakti"-verb-eo "maltraiter"-verb-fr
"maltraiter"-verb-fr "mistrakti"-verb-eo
"pafi"-verb-eo "tirer sur"-verb-fr
"tirer sur"-verb-fr "pafi"-verb-eo
"maldungi"-verb-eo "licencier"-verb-fr
"licencier"-verb-fr "maldungi"-verb-eo
"deziri"-verb-eo "désirer"-verb-fr
"désirer"-verb-fr "deziri"-verb-eo
"voli"-verb-eo "vouloir"-verb-fr
"voli"-verb-eo "avoir envie de"-verb-fr
